RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~59~Q03~TMC01~AGE~RACE,2022,2022,US,"United States, DC & Territories",BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,10.8,10.8,,,9.5,12.2,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,C05,TMC01,Q03,59,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~72~Q17~TAC01~AGE~OVERALL,2022,2022,PR,Puerto Rico,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,12.0,12.0,,,9.8,14.5,Age Group,50-64 years,,,POINT (-66.590149 18.220833),C04,TAC01,Q17,72,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~9001~Q46~TOC10~AGE~RACE,2022,2022,NRE,Northeast,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,42.4,42.4,,,33.4,51.9,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,C01,TOC10,Q46,9001,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~13~Q38~TGC03~AGE~OVERALL,2022,2022,GA,Georgia,BRFSS,Caregiving,Duration of caregiving among older adults,Percentage of older adults who provided care to a friend or family member for six months or more,%,PRCTG,Percentage,73.4,73.4,,,67.4,78.6,Age Group,50-64 years,,,POINT (-83.62758035 32.83968109),C07,TGC03,Q38,13,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~24~Q34~TOC09~AGE~RACE,2022,2022,MD,Maryland,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),%,PRCTG,Percentage,74.0,74.0,,,53.3,87.7,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-76.60926011 39.29058096),C01,TOC09,Q34,24,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~13~Q32~TOC07~AGE~GENDER,2022,2022,GA,Georgia,BRFSS,Overall Health,Self-rated health (fair to poor health),"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",%,PRCTG,Percentage,27.3,27.3,,,23.9,30.9,Age Group,65 years or older,Gender,Male,POINT (-83.62758035 32.83968109),C01,TOC07,Q32,13,AGE,65PLUS,GENDER,MALE
BRFSS~2022~2022~66~Q10~TSC10~AGE~GENDER,2022,2022,GU,Guam,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,31.8,31.8,,,23.6,41.2,Age Group,Overall,Gender,Male,POINT (144.793731 13.444304),C03,TSC10,Q10,66,AGE,AGE_OVERALL,GENDER,MALE
BRFSS~2022~2022~20~Q09~TSC09~AGE~RACE,2022,2022,KS,Kansas,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",%,PRCTG,Percentage,50.8,50.8,,,37.8,63.6,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-98.20078123 38.3477403),C03,TSC09,Q09,20,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~53~Q09~TSC09~AGE~GENDER,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",%,PRCTG,Percentage,61.2,61.2,,,59.3,63.1,Age Group,Overall,Gender,Male,POINT (-120.4700108 47.52227863),C03,TSC09,Q09,53,AGE,AGE_OVERALL,GENDER,MALE
BRFSS~2022~2022~53~Q09~TSC09~AGE~RACE,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",%,PRCTG,Percentage,56.5,56.5,,,44.8,67.6,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-120.4700108 47.52227863),C03,TSC09,Q09,53,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~50~Q09~TSC09~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",%,PRCTG,Percentage,65.0,65.0,,,62.5,67.5,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-72.51764079 43.62538124),C03,TSC09,Q09,50,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~15~Q10~TSC10~AGE~RACE,2022,2022,HI,Hawaii,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,45.1,45.1,,,38.5,51.9,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-157.8577494 21.30485044),C03,TSC10,Q10,15,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~11~Q10~TSC10~AGE~RACE,2022,2022,DC,District of Columbia,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,47.5,47.5,,,37.0,58.2,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-77.036871 38.907192),C03,TSC10,Q10,11,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~08~Q10~TSC10~AGE~RACE,2022,2022,CO,Colorado,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,41.8,41.8,,,28.7,56.1,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-106.1336109 38.84384076),C03,TSC10,Q10,08,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~11~Q10~TSC10~AGE~RACE,2022,2022,DC,District of Columbia,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-77.036871 38.907192),C03,TSC10,Q10,11,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~15~Q10~TSC10~AGE~RACE,2022,2022,HI,Hawaii,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,43.8,43.8,,,38.9,48.9,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-157.8577494 21.30485044),C03,TSC10,Q10,15,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~36~Q10~TSC10~AGE~RACE,2022,2022,NY,New York,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,26.3,26.3,,,17.6,37.3,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-75.54397043 42.82700103),C03,TSC10,Q10,36,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~24~Q11~TSC11~AGE~RACE,2022,2022,MD,Maryland,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,21.3,21.3,,,12.5,34.1,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-76.60926011 39.29058096),C03,TSC11,Q11,24,AGE,5064,RACE,HIS
BRFSS~2022~2022~02~Q11~TSC11~AGE~RACE,2022,2022,AK,Alaska,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,36.8,36.8,,,22.9,53.4,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-147.722059 64.84507996),C03,TSC11,Q11,02,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~36~Q11~TSC11~AGE~RACE,2022,2022,NY,New York,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,30.2,30.2,,,18.6,45.2,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-75.54397043 42.82700103),C03,TSC11,Q11,36,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~33~Q11~TSC11~AGE~RACE,2022,2022,NH,New Hampshire,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-71.50036092 43.65595011),C03,TSC11,Q11,33,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~55~Q11~TSC11~AGE~GENDER,2022,2022,WI,Wisconsin,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,37.5,37.5,,,35.4,39.7,Age Group,Overall,Gender,Female,POINT (-89.81637074 44.39319117),C03,TSC11,Q11,55,AGE,AGE_OVERALL,GENDER,FEMALE
BRFSS~2022~2022~33~Q12~TSC01~AGE~RACE,2022,2022,NH,New Hampshire,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-71.50036092 43.65595011),C03,TSC01,Q12,33,AGE,5064,RACE,NAA
BRFSS~2022~2022~42~Q12~TSC01~AGE~RACE,2022,2022,PA,Pennsylvania,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-77.86070029 40.79373015),C03,TSC01,Q12,42,AGE,5064,RACE,NAA
BRFSS~2022~2022~53~Q12~TSC01~AGE~RACE,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,73.2,73.2,,,71.0,75.3,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-120.4700108 47.52227863),C03,TSC01,Q12,53,AGE,5064,RACE,WHT
BRFSS~2022~2022~15~Q12~TSC01~AGE~RACE,2022,2022,HI,Hawaii,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,75.0,75.0,,,67.9,80.9,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-157.8577494 21.30485044),C03,TSC01,Q12,15,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~15~Q12~TSC01~AGE~RACE,2022,2022,HI,Hawaii,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,84.4,84.4,,,66.1,93.7,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-157.8577494 21.30485044),C03,TSC01,Q12,15,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~30~Q12~TSC01~AGE~RACE,2022,2022,MT,Montana,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,52.8,52.8,,,36.0,69.0,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-109.4244206 47.06652897),C03,TSC01,Q12,30,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~55~Q12~TSC01~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,79.7,79.7,,,68.7,87.6,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-89.81637074 44.39319117),C03,TSC01,Q12,55,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~11~Q12~TSC01~AGE~RACE,2022,2022,DC,District of Columbia,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-77.036871 38.907192),C03,TSC01,Q12,11,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~35~Q12~TSC01~AGE~RACE,2022,2022,NM,New Mexico,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,68.0,68.0,,,52.4,80.4,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-106.240581 34.52088095),C03,TSC01,Q12,35,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~01~Q20~TSC03~AGE~RACE,2022,2022,AL,Alabama,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,49.9,49.9,,,38.9,60.9,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-86.63186076 32.84057112),C03,TSC03,Q20,01,AGE,5064,RACE,BLK
BRFSS~2022~2022~01~Q20~TSC03~AGE~RACE,2022,2022,AL,Alabama,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-86.63186076 32.84057112),C03,TSC03,Q20,01,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~22~Q20~TSC03~AGE~RACE,2022,2022,LA,Louisiana,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-92.44568007 31.31266064),C03,TSC03,Q20,22,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~21~Q20~TSC03~AGE~RACE,2022,2022,KY,Kentucky,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-84.77497105 37.64597027),C03,TSC03,Q20,21,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~53~Q20~TSC03~AGE~RACE,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,40.5,40.5,,,32.9,48.7,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-120.4700108 47.52227863),C03,TSC03,Q20,53,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~35~Q20~TSC03~AGE~RACE,2022,2022,NM,New Mexico,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,29.6,29.6,,,16.3,47.7,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-106.240581 34.52088095),C03,TSC03,Q20,35,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~33~Q13~TNC04~AGE~RACE,2022,2022,NH,New Hampshire,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-71.50036092 43.65595011),C02,TNC04,Q13,33,AGE,5064,RACE,ASN
BRFSS~2022~2022~49~Q13~TNC04~AGE~GENDER,2022,2022,UT,Utah,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,39.1,39.1,,,35.4,42.9,Age Group,50-64 years,Gender,Male,POINT (-111.5871306 39.36070017),C02,TNC04,Q13,49,AGE,5064,GENDER,MALE
